#{"t_start": 1743878026.4469059, "env_id": "None"}
r,l,t
23.87801,72,1110.854159
23.87801,72,1112.161187
23.82801,72,1114.078372
23.87801,72,1115.393508
23.87801,72,1117.270255
23.82801,72,1118.798826
23.87801,72,1121.123362
23.87801,72,1122.911637
23.87801,72,1124.242759
23.87801,72,1125.608254
23.87801,72,1126.927135
23.87801,72,1128.225322
23.87801,72,1129.567629
23.87801,72,1131.209479
23.87801,72,1132.570843
23.87801,72,1133.885959
23.87801,72,1135.711162
23.87801,72,1137.299338
23.87801,72,1138.893767
23.87801,72,1140.724998
23.87801,72,1142.071609
23.87801,72,1143.828893
23.87801,72,1145.114996
23.87801,72,1151.211388
23.82801,72,1152.527082
23.87801,72,1153.886836
23.87801,72,1155.457814
23.82801,72,1156.885735
23.87801,72,1158.257989
24.27701,73,1159.567276
23.87801,72,1161.255482
23.87801,72,1162.630347
24.27701,73,1163.974615
23.82801,72,1165.669455
23.87801,72,1167.347321
24.27701,73,1168.777824
23.87801,72,1170.751141
24.27701,73,1172.110771
24.57601,74,1173.804543
23.87801,72,1175.091073
23.87801,72,1176.441187
23.87801,72,1177.735873
23.87801,72,1179.032986
23.82801,72,1180.816729
23.87801,72,1182.402056
23.87801,72,1184.069027
23.87801,72,1185.787115
23.87801,72,1187.466612
23.87801,72,1188.786586
23.87801,72,1190.090248
23.87801,72,1191.375172
23.87801,72,1197.510272
24.57601,74,1198.838486
23.329008,71,1200.10452
23.329008,71,1201.355008
23.329008,71,1202.648988
24.27701,73,1203.980335
23.87801,72,1205.605369
23.728008,72,1207.002957
23.87801,72,1208.296902
23.728008,72,1209.572738
23.87801,72,1211.387252
23.87801,72,1212.713426
23.728008,72,1214.587658
23.329008,71,1215.899473
23.279009,71,1217.76234
23.728008,72,1219.104688
23.728008,72,1221.064946
23.87801,72,1222.497268
23.87801,72,1224.479641
23.87801,72,1225.986693
23.728008,72,1227.815224
23.87801,72,1229.125627
23.728008,72,1230.965012
23.87801,72,1232.544286
24.27701,73,1234.162659
24.27701,73,1235.79124
23.87801,72,1237.499279
24.57601,74,1239.052844
23.87801,72,1246.210762
24.27701,73,1247.618548
23.728008,72,1249.121403
23.87801,72,1250.777636
24.27701,73,1252.447714
23.87801,72,1254.321575
23.728008,72,1256.080981
23.728008,72,1257.417866
23.87801,72,1258.731176
23.87801,72,1260.241811
23.82801,72,1262.174867
23.87801,72,1263.735154
24.22701,73,1265.991336
23.87801,72,1267.40827
24.57601,74,1269.385431
24.57601,74,1270.696641
24.57601,74,1273.02723
23.87801,72,1274.349485
24.57601,74,1276.105097
24.27701,73,1277.617788
23.87801,72,1278.924525
23.87801,72,1280.405317
24.57601,74,1282.038707
24.57601,74,1283.591969
23.728008,72,1284.908919
23.728008,72,1287.113992
22.880009,70,1288.708209
24.27701,73,1290.437581
23.87801,72,1291.756175
23.87801,72,1297.963927
23.87801,72,1299.274499
24.27701,73,1300.716916
23.87801,72,1301.997373
23.87801,72,1303.301324
24.57601,74,1304.681558
24.27701,73,1306.677721
23.87801,72,1308.484261
23.728008,72,1310.174999
23.728008,72,1311.521449
24.57601,74,1313.329254
24.57601,74,1315.200269
23.87801,72,1316.646936
24.57601,74,1318.229178
24.57601,74,1319.605155
22.930008,70,1320.954484
24.57601,74,1322.270706
23.728008,72,1324.170142
24.57601,74,1325.798203
23.87801,72,1327.070228
24.57601,74,1328.542015
23.87801,72,1329.924844
24.27701,73,1331.782277
24.27701,73,1333.317818
24.22701,73,1335.595773
24.57601,74,1337.088256
23.87801,72,1338.75473
24.27701,73,1340.755217
23.82801,72,1346.847472
24.57601,74,1348.178689
23.87801,72,1349.566044
23.87801,72,1351.220414
23.87801,72,1353.450705
24.57601,74,1355.016714
23.87801,72,1356.594252
23.87801,72,1357.878775
24.27701,73,1359.307458
23.87801,72,1360.651139
24.27701,73,1362.434449
24.27701,73,1364.016168
23.87801,72,1365.896054
23.87801,72,1367.153291
23.728008,72,1368.464353
23.87801,72,1369.881752
23.87801,72,1371.770724
24.27701,73,1373.236461
23.329008,71,1374.846299
23.728008,72,1376.637134
23.87801,72,1378.307459
23.87801,72,1379.663636
24.27701,73,1380.950956
24.57601,74,1382.504354
23.87801,72,1383.875323
23.87801,72,1385.455251
23.87801,72,1387.391098
23.87801,72,1389.15424
23.87801,72,1396.186568
24.57601,74,1397.898409
24.57601,74,1399.246182
23.728008,72,1400.597766
24.57601,74,1402.552948
23.87801,72,1403.95866
23.87801,72,1405.939757
23.87801,72,1407.28559
23.82801,72,1408.898405
23.87801,72,1410.328894
23.87801,72,1412.452745
24.27701,73,1413.722808
23.87801,72,1415.087043
24.57601,74,1416.457636
23.87801,72,1418.00315
23.87801,72,1419.329622
24.27701,73,1420.611394
23.87801,72,1422.371558
23.87801,72,1423.825374
23.87801,72,1425.461496
23.87801,72,1426.777678
23.87801,72,1428.176485
24.27701,73,1429.634211
24.27701,73,1431.190894
23.87801,72,1432.987051
23.87801,72,1434.794108
24.27701,73,1436.443158
24.27701,73,1437.811512
24.57601,74,1444.170706
24.57601,74,1445.594221
23.87801,72,1446.910848
23.87801,72,1448.220286
24.57601,74,1449.530866
23.87801,72,1451.064301
24.57601,74,1453.138503
23.87801,72,1454.621939
23.87801,72,1456.19596
24.57601,74,1457.829827
24.27701,73,1459.178565
24.27701,73,1460.956251
23.678009,72,1462.363109
24.22701,73,1463.891845
22.930008,70,1465.129327
23.87801,72,1466.660796
22.930008,70,1468.184917
23.87801,72,1469.957272
23.329008,71,1471.56119
